stop_id,Current Cleaning Category,abc_stop_name
6291,A,Glenn View Station at Walmart
5445,A,Raynor St at The Village (WB)
1406,A,Renaissance Pkwy at Southpoint Mall
6146,A,Fayetteville St at Pilot St (NB)
5148,A,E Main St at Alston Ave (WB)
5663,A,New Hope Commons
6203,A,Horton Rd at Guess Rd (Harris Teeter)
5513,A,Roxboro Rd at Horton Rd
5394,A,Chapel Hill Rd at Palmer St (EB)
6297,A,Roxboro Rd at Liberty St
6068,A,Erwin Rd at Downing St (WB)
6095,A,Duke Regional Hospital (SB)
6620,A,Garrett Rd at Durham-Chapel Hill Blvd (
6309,A,Dillard St at E Main St (Urban Ministri
6104,A,Fulton St at Erwin Rd (Duke Hospital)
6489,A,Raynor St at The Village (EB)
5654,A,Horton Rd at Roxboro Rd
5653,A,Fayetteville St at Riddle Rd (NB)
6379,A,Broad St at Main St (Whole Foods)
5793,A,Fayetteville Rd at Crooked Creek Pkwy
5822,A,NC 55 at NC 54 (NB)
6257,A,Fayetteville St at Cook Rd (Hillside HS)
5848,A,Flowers Dr at Duke Gardens (SB)
6689,A,Brier Creek Pkwy at Skyland Ridge Pkwy
6012,A,Erwin Rd at Fulton St (Duke University
5105,A,Duke Regional Hospital (NB)
5280,A,E Main St at Dillard St (EB)
5896,A,Roxboro Rd at Old Oxford Rd (SB)
6607,A,Rose of Sharon at Riverside High School
5549,A,Fayetteville St at Linwood Ave
6591,A,S Roxboro St at Shoppes at Hope Valley
5261,A,University Dr at Westgate Dr (Parkway P
6383,A,E Main St at Morning Glory Ave (Golden
5127,A,Seven Oaks Rd at Riverview Shopping Center
5253,A,Holloway St at Brye St (WB)
5741,A,E Main St at Roxboro St (WB)
5733,A,Lawson St at Wabash St (WB)
6277,A,S Alston Ave at Falls Pointe Apts (
5829,A,Fayetteville St at Pilot St (SB)
5519,A,University Dr at Hill St (Forest Hills
5561,A,Leon St at N Buchanan Blvd (EB)
6491,A,E Main St at Stokes St (EB)
5671,A,Holloway St at Elm St (WB)
5743,A,Trent Dr at Duke Hospital South (EB)
6551,A,Morreene Rd at Glasson St (SB)
5754,A,Chapel Hill Rd at Lakewood Ave (Shoppin
6435,A,Holloway St at Alma St
5773,A,Lawson St at Durham Tech Community Coll
5331,A,Dearborn Dr at Old Oxford Rd (SB)
5245,A,Holloway St at Alston Ave (EB)
5897,A,Club Blvd at Dollar Ave (Northgate Mall
5451,A,Olympic Ave at Roxboro Rd
6226,A,TW Alexander Dr at Glenwood Ave
5908,A,Chapel Hill Rd at House St
6398,A,Capps St at S Alston Ave (WB)
5778,A,Hillsborough Rd at Lawndale Ave (WB)
6684,A,North Pointe Dr at Woodmont Dr (EB)
1901,A,McFarland Dr at Witherspoon Blvd (Patte
5573,A,Holloway St at Elizabeth St (EB)
6622,A,Morehead Ave at Duke St (EB)
6493,A,Willard St at Blackwell St (EB)
5224,A,Fayetteville St at Burlington Ave (NB)
5436,A,Meriwether Dr at Pickwick Trail (SB)
6018,A,Hillsborough Rd at Lawndale Ave (Food L
5931,A,Fayetteville St at Brant St (NCCU)
5811,A,Service Rd at Davidson Ave (SB)
6008,A,Angier Ave at Beldon Dr
6333,A,American Dr at Constitution Dr
6272,A,TW Alexander Dr at Miami Blvd (WB)
6110,A,North Pointe Dr at Broad St (EB)
6256,A,Fayetteville St at Cook Rd (SB)
6077,A,Fayetteville St at Eagle Campus Dr
5569,A,Hillsborough Rd at LaSalle St (Durham F
5907,A,Fayetteville St at Piedmont Ave (NB)
5505,A,Holloway St at Alston Ave (WB)
5479,A,Cornwallis Rd at Weaver St
5310,A,Angier Ave at Guthrie Ave (WB)
5332,A,University Dr at Shannon Rd (EB)
5801,A,Broad St at Markham Ave (SB)
6579,A,NC 54 at Garrett Rd (EB)
6393,A,Holloway St at Hyde Park Ave (WB)
6490,A,Holloway St at Elizabeth St (WB)
5080,A,Fayetteville St at Homeland Ave (NB)
6177,A,Lawson St at Sima Ave (WB)
5689,A,S Roxboro St at Umstead St (NB)
6618,A,Morehead Ave at Duke St (WB)
5156,A,Chapel Hill Rd at Bivins St (EB)
5898,A,Holloway St at Driver St (WB)
5265,A,E Main St at Blacknall St (WB)
5165,A,Erwin Rd at Downing St (EB)
5507,A,Chapel Hill St at Gregson St (WB)
5106,A,Erwin Rd at Research Dr
6694,A,Jackson St at Duke St (WB)
6109,A,North Pointe Dr at North Pointe Shoppin
5121,A,University Dr at Weymouth St (Near)
6637,A,Fayetteville Rd at MLK Pkwy (SB)
5226,A,Roxboro Rd at Old Oxford Rd (Oxford Com
5634,A,Roxboro Rd at St Paul St
6631,A,TW Alexander Dr at Page Rd (WB)
5530,A,Cornwallis Rd at Century Oaks Dr (NB)
5292,A,Hillsborough Rd at Cole Mill Rd (WB)
6092,A,Hardee St at Cheek Rd (SB)
5278,A,Ninth St at Safeway St
5184,A,Service Rd at Davidson Ave (NB)
5568,A,Meriwether Dr at Old Oxford Rd (SB)
6225,A,Brier Creek Pkwy at Little Brier Creek
5851,A,Lawson St at Ridgeway Ave
5806,A,Murray Ave at Broad St
5337,A,Lakewood Ave at Heritage Square
6248,A,Rigsbee Ave at Seminary St
5900,A,Chapel Hill St at Kent St (EB)
6506,A,E Main St at Queen St (WB)
5286,A,Duke University Rd at Underwood Ave (EB
6023,A,Fayetteville St at Lawson St (NCCU)
6126,A,Chalk Level Rd at Horton Rd (WB)
6167,A,Chapel Hill Rd at Colonial Apts (NB)
5407,A,Tom Wilkinson Rd at Northern High School
5580,A,Fayetteville St at Burlington Ave (SB)
5465,A,Broad St at Markham Ave (NB)
6252,A,Renaissance Pkwy at Renaissance Village
6305,A,Chapel Hill St at Main St
5133,A,University Dr at Westgate Dr (WB)
5708,A,Angier Ave at Hoover Rd (WB)
5677,A,Broad St at Guess Rd (SB)
6527,A,Dowd St at Mangum St
5899,A,Briggs Ave at Person St (NB)
5819,A,E Main St at Dillard St (WB)
5033,A,Roxboro Rd at Bush Dr
5415,A,Duke St at North Duke Crossing
6016,A,Lawson St at Bacon St (WB)
6650,A,Roxboro St at Frasier St
5544,A,Fayetteville St at Homeland Ave (SB)
5039,A,Fayetteville St at Piedmont Ave (SB)
5126,A,Avondale Dr at E Knox St (SB)
5575,A,Roxboro St at Charles St
6154,A,Roxboro St at Cornwallis Rd
5590,A,Hillandale Rd at Croasdaile Crossing
5435,A,NC 55 at Alston Ave (NCCU)
5344,A,Chapel Hill Rd at Morehead Ave (NB)
6382,A,E Main St at Roxboro St (EB)
6494,A,Blackwell St at Forest Hills Apts (NB)
5484,A,Duke University Rd at Underwood Ave (WB
6505,A,E Main St at Elizabeth St
5341,A,Chapel Hill Rd at University Dr (NB)
5940,A,Hardee St at Benning St (SB)
6335,A,Hillsborough Rd at Cole Mill Rd (CVS)
5396,A,Fayetteville St at Red Oak Ave (NB)
5169,B,Morehead Ave at Moreland Ave (EB)
5570,B,Garrett Rd at Durham-Chapel Hill Blvd (
5690,B,NC 54 at NC 55 (EB)
5701,B,Fayetteville St at Price Ave
6495,B,Martin Luther King Jr Pkwy at Bay Point
5718,B,LaSalle St at Campus Walk Dr (Holly Hil
6663,B,Fayetteville Rd at Hillside High School
6317,B,Pettigrew St at Mangum St (EB)
5999,B,Chapel Hill Rd at W Cornwallis Rd (NB)
6306,B,E Main St at Corcoran St (EB)
6390,B,Main St at Broad St (WB)
5864,B,University Dr at Hill St
5983,B,Duke St at Kinder Care
5233,B,Freeman Rd at Clayton Rd (Southern HS)
5313,B,Alston Ave at Lawson St (SB)
5162,B,Willard St at Yancey St (Ramada Inn)
6387,B,Main St at Gregson St (WB)
5118,B,Martin Luther King Jr Pkwy at Lake Camp
6640,B,Constitution Dr at Neal Rd
6658,B,E Main St at Angier Ave
5063,B,NC 54 at Residence Inn Blvd (WB)
5518,B,Fayetteville St at Pekoe St
6486,B,Hardee St at Landon St (SB)
5770,B,LaSalle St at Hillsborough Rd (Tire Kin
5210,B,Martin Luther King Jr Pkwy at Shannon R
6204,B,Guess Rd at Horton Rd (Walgreens)
6307,B,E Main St at Mangum St (EB)
5957,B,Duke University Rd at Chapel Hill Rd
5646,B,Roxboro Rd at Davidson Ave (SB)
5198,B,Holloway St at Hyde Park Ave (EB)
5862,B,Cornwallis Rd at Bainbridge Dr (NB)
5420,B,E Main St at Corcoran St (WB)
5980,B,University Dr at Martin Luther King Jr
5397,B,Fayetteville St at Dunbar St
6647,B,LaSalle St at Kangaroo St (The Heights
5578,B,Fayetteville St at Simmons St
6197,B,Witherspoon Blvd at McFarland Dr (Patte
5593,B,Lednum St at Murray Ave
6076,B,Douglas St at Pratt St
